"Date","Date_format"
"janvier 2019","2019-01-01"
"février 2019","2019-02-01"
"mars 2019","2019-03-01"
"avril 2019","2019-04-01"
"mai 2019","2019-05-01"
"juin 2019","2019-06-01"
"juillet 2019","2019-07-01"
"août 2019","2019-08-01"
"septembre 2019","2019-09-01"
"octobre 2019","2019-10-01"
"novembre 2019","2019-11-01"
"décembre 2019","2019-12-01"
"janvier 2018","2018-01-01"
"février 2018","2018-02-01"
"mars 2018","2018-03-01"
"avril 2018","2018-04-01"
"mai 2018","2018-05-01"
"juin 2018","2018-06-01"
"juillet 2018","2018-07-01"
"août 2018","2018-08-01"
"septembre 2018","2018-09-01"
"octobre 2018","2018-10-01"
"novembre 2018","2018-11-01"
"décembre 2018","2018-12-01"
"janvier 2017","2017-01-01"
"février 2017","2017-02-01"
"mars 2017","2017-03-01"
"avril 2017","2017-04-01"
"mai 2017","2017-05-01"
"juin 2017","2017-06-01"
"juillet 2017","2017-07-01"
"août 2017","2017-08-01"
"septembre 2017","2017-09-01"
"octobre 2017","2017-10-01"
"novembre 2017","2017-11-01"
"décembre 2017","2017-12-01"
"janvier 2016","2016-01-01"
"février 2016","2016-02-01"
"mars 2016","2016-03-01"
"avril 2016","2016-04-01"
"mai 2016","2016-05-01"
"juin 2016","2016-06-01"
"juillet 2016","2016-07-01"
"août 2016","2016-08-01"
"septembre 2016","2016-09-01"
"octobre 2016","2016-10-01"
"novembre 2016","2016-11-01"
"décembre 2016","2016-12-01"
"janvier 2015","2015-01-01"
"février 2015","2015-02-01"
"mars 2015","2015-03-01"
"avril 2015","2015-04-01"
"mai 2015","2015-05-01"
"juin 2015","2015-06-01"
"juillet 2015","2015-07-01"
"août 2015","2015-08-01"
"septembre 2015","2015-09-01"
"octobre 2015","2015-10-01"
"novembre 2015","2015-11-01"
"décembre 2015","2015-12-01"
"janvier 2014","2014-01-01"
"février 2014","2014-02-01"
"mars 2014","2014-03-01"
"avril 2014","2014-04-01"
"mai 2014","2014-05-01"
"juin 2014","2014-06-01"
"juillet 2014","2014-07-01"
"août 2014","2014-08-01"
"septembre 2014","2014-09-01"
"octobre 2014","2014-10-01"
"novembre 2014","2014-11-01"
"décembre 2014","2014-12-01"
